id,age_at_entry,entry_cohort_year,prior_career_years,diocesan_or_order,region,conscientiousness_score,internal_locus_of_control,introspection_level,compliance_score,willingness_to_self_edit,conscience_conflict_events,initial_evaluation_score,year1_advancement,year2_advancement,leadership_flag,year_of_exit,ordination_outcome,exit_reason_category,profile_cluster
55,25,2021,3,diocesan,South,5,3,4,4,5,2,5,1,0,1,2,0,3,early_compliant_survivor
56,27,2019,5,diocesan,West,5,4,4,3,4,1,5,1,0,1,2,0,3,early_compliant_survivor
57,27,2019,5,diocesan,Northeast,5,3,4,4,4,2,5,1,0,1,2,0,3,early_compliant_survivor
58,26,2020,4,diocesan,West,5,4,4,3,5,1,5,1,0,1,2,0,3,early_compliant_survivor
59,43,2003,21,religious,South,5,3,2,4,5,1,4,1,1,1,,1,,institutional_careerist
60,37,2009,15,religious,Midwest,5,3,2,4,5,0,4,1,1,1,,1,,institutional_careerist
61,26,2020,4,diocesan,West,5,4,4,4,5,2,5,1,1,1,3,0,2,early_compliant_survivor
62,23,2023,1,diocesan,Midwest,4,3,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
63,29,2017,7,diocesan,South,5,3,4,3,4,1,5,1,1,1,3,0,2,early_compliant_survivor
64,41,2005,19,religious,South,4,2,1,4,5,1,3,1,1,0,,1,,institutional_careerist
65,29,2017,7,diocesan,Midwest,5,4,4,3,4,2,5,1,1,1,3,0,3,early_compliant_survivor
66,26,2020,4,diocesan,Midwest,4,3,4,3,4,2,4,1,1,1,3,0,3,early_compliant_survivor
67,39,2007,17,religious,Northeast,4,2,2,5,4,0,3,1,1,0,,1,,institutional_careerist
68,22,2024,0,diocesan,Midwest,3,2,3,3,3,2,3,0,0,0,1,0,5,early_exit_discerner
69,28,2018,6,diocesan,Midwest,4,4,4,4,4,2,4,1,0,1,2,0,2,early_compliant_survivor
70,23,2023,1,diocesan,South,5,4,4,4,5,2,5,1,1,1,3,0,2,early_compliant_survivor
71,26,2020,4,diocesan,South,5,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
72,24,2022,2,diocesan,Midwest,4,3,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
73,27,2019,5,diocesan,Midwest,4,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
74,28,2018,6,diocesan,West,4,3,4,3,5,1,4,1,0,1,2,0,3,early_compliant_survivor
75,38,2008,16,diocesan,Northeast,4,5,4,1,2,4,4,1,1,1,4,0,4,late_integrated_attriter
76,39,2007,17,religious,West,5,3,1,5,4,0,3,1,1,0,,1,,institutional_careerist
77,25,2021,3,diocesan,South,4,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
78,25,2021,3,diocesan,South,5,3,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
79,32,2014,10,religious,West,4,3,1,5,4,0,3,1,1,0,,1,,institutional_careerist
80,28,2018,6,diocesan,South,4,3,4,4,4,1,4,1,1,1,3,0,2,early_compliant_survivor
81,26,2020,4,diocesan,South,5,4,4,3,4,1,5,1,0,1,2,0,2,early_compliant_survivor
82,36,2010,14,diocesan,South,3,4,5,1,1,5,4,1,1,1,3,0,3,late_integrated_attriter
83,26,2020,4,diocesan,Midwest,4,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
84,23,2023,1,diocesan,Midwest,2,1,2,3,3,2,2,0,0,0,2,0,5,early_exit_discerner
85,26,2020,4,diocesan,Midwest,5,4,4,3,5,2,5,1,0,1,2,0,2,early_compliant_survivor
86,27,2019,5,diocesan,West,4,3,4,4,5,2,4,1,1,1,3,0,2,early_compliant_survivor
87,26,2020,4,diocesan,South,4,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
88,39,2007,17,religious,Midwest,5,3,1,4,5,1,3,1,1,0,,1,,institutional_careerist
89,25,2021,3,diocesan,South,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
90,35,2011,13,religious,Midwest,4,3,1,5,4,1,3,1,1,0,,1,,institutional_careerist
91,26,2020,4,diocesan,West,5,4,4,3,4,1,5,1,1,1,3,0,2,early_compliant_survivor
92,26,2020,4,diocesan,Midwest,4,4,4,4,5,2,4,1,0,1,2,0,2,early_compliant_survivor
93,28,2018,6,diocesan,Midwest,4,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
94,29,2017,7,diocesan,West,4,4,4,3,5,2,4,1,0,1,2,0,3,early_compliant_survivor
95,33,2013,11,religious,Northeast,4,3,1,4,5,1,3,1,1,0,,1,,institutional_careerist
96,27,2019,5,diocesan,West,5,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
97,29,2017,7,diocesan,Northeast,4,5,4,1,1,4,4,1,1,1,5,0,4,late_integrated_attriter
98,28,2018,6,diocesan,Northeast,4,3,4,3,4,2,4,1,0,1,2,0,2,early_compliant_survivor
99,27,2019,5,diocesan,South,4,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
100,25,2021,3,diocesan,Northeast,5,3,4,4,5,1,5,1,1,1,3,0,2,early_compliant_survivor
101,23,2023,1,diocesan,Midwest,5,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
102,28,2018,6,diocesan,West,5,3,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
103,33,2013,11,diocesan,West,4,4,5,1,2,3,5,1,1,1,6,0,3,late_integrated_attriter
104,29,2017,7,diocesan,Northeast,4,5,5,2,1,4,5,1,1,1,5,0,4,late_integrated_attriter
105,27,2019,5,diocesan,Midwest,5,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
106,25,2021,3,diocesan,West,2,2,2,3,2,2,2,0,0,0,2,0,1,early_exit_discerner
107,28,2018,6,diocesan,Midwest,5,3,4,3,5,2,5,1,0,1,2,0,3,early_compliant_survivor
108,32,2014,10,religious,South,4,2,2,4,4,0,3,1,1,0,,1,,institutional_careerist
109,43,2003,21,religious,West,5,3,1,4,4,1,3,1,1,0,,1,,institutional_careerist
110,29,2017,7,diocesan,South,5,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
111,33,2013,11,diocesan,West,4,4,5,2,2,3,5,1,1,1,5,0,3,late_integrated_attriter
112,45,2001,23,religious,Northeast,4,3,2,4,4,1,3,1,1,0,,1,,institutional_careerist
113,29,2017,7,diocesan,West,5,4,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
114,25,2021,3,diocesan,West,5,4,4,4,5,1,5,1,1,1,3,0,2,early_compliant_survivor
115,45,2001,23,religious,West,4,3,2,5,5,1,3,1,1,0,,1,,institutional_careerist
116,32,2014,10,religious,Northeast,5,2,2,5,5,1,4,1,1,1,,1,,institutional_careerist
117,23,2023,1,diocesan,Midwest,4,3,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
118,27,2019,5,diocesan,Midwest,4,4,4,3,5,2,4,1,1,1,3,0,2,early_compliant_survivor
119,23,2023,1,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
120,29,2017,7,diocesan,West,4,3,4,4,5,2,4,1,0,1,2,0,3,early_compliant_survivor
121,25,2021,3,diocesan,South,4,4,4,4,5,1,4,1,1,1,3,0,3,early_compliant_survivor
122,23,2023,1,diocesan,West,5,3,4,3,4,2,5,1,0,1,2,0,3,early_compliant_survivor
123,24,2022,2,diocesan,Northeast,3,1,2,3,3,2,3,0,0,0,1,0,5,early_exit_discerner
124,24,2022,2,diocesan,South,2,2,3,3,2,2,3,0,0,0,2,0,1,early_exit_discerner
125,26,2020,4,diocesan,Midwest,5,3,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
126,24,2022,2,diocesan,South,4,4,4,3,5,2,4,1,1,1,3,0,3,early_compliant_survivor
127,27,2019,5,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
128,22,2024,0,diocesan,South,3,2,3,3,2,1,3,0,0,0,1,0,1,early_exit_discerner
129,27,2019,5,diocesan,Midwest,5,3,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
130,26,2020,4,diocesan,Northeast,5,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
131,34,2012,12,religious,Midwest,5,2,2,5,5,0,4,1,1,1,,1,,institutional_careerist
132,26,2020,4,diocesan,South,4,3,4,3,5,2,4,1,0,1,2,0,2,early_compliant_survivor
133,27,2019,5,diocesan,West,4,3,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
134,28,2018,6,diocesan,West,4,4,4,4,5,2,4,1,1,1,3,0,2,early_compliant_survivor
135,29,2017,7,diocesan,South,4,3,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
136,29,2017,7,diocesan,West,5,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
137,25,2021,3,diocesan,Northeast,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
138,42,2004,20,religious,West,4,3,1,4,4,0,3,1,1,0,,1,,institutional_careerist
139,23,2023,1,diocesan,Midwest,3,1,2,3,2,1,3,0,0,0,2,0,1,early_exit_discerner
140,23,2023,1,diocesan,South,4,4,4,4,4,2,4,1,1,1,3,0,3,early_compliant_survivor
141,24,2022,2,diocesan,Northeast,5,3,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
142,26,2020,4,diocesan,West,5,3,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
143,29,2017,7,diocesan,South,5,3,4,3,5,2,5,1,1,1,3,0,2,early_compliant_survivor
144,25,2021,3,diocesan,Northeast,5,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
145,26,2020,4,diocesan,South,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
146,26,2020,4,diocesan,West,5,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
147,32,2014,10,religious,South,5,3,1,5,5,0,3,1,1,0,,1,,institutional_careerist
148,25,2021,3,diocesan,Midwest,4,3,4,4,5,1,4,1,1,1,3,0,3,early_compliant_survivor
149,29,2017,7,diocesan,South,5,3,3,4,5,0,4,1,1,1,,1,,early_compliant_survivor
150,24,2022,2,diocesan,Midwest,4,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
151,36,2010,14,religious,West,5,2,1,5,4,1,3,1,1,0,,1,,institutional_careerist
152,25,2021,3,diocesan,South,5,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
153,24,2022,2,diocesan,Northeast,5,3,4,3,5,2,5,1,0,1,2,0,3,early_compliant_survivor
154,29,2017,7,diocesan,South,4,3,4,4,4,1,4,1,0,1,2,0,3,early_compliant_survivor
155,23,2023,1,diocesan,Midwest,3,1,3,2,3,2,3,0,0,0,1,0,1,early_exit_discerner
156,29,2017,7,diocesan,West,5,3,4,4,5,2,5,1,1,1,3,0,3,early_compliant_survivor
157,45,2001,23,religious,West,5,3,2,5,5,0,4,1,1,1,,1,,institutional_careerist
158,27,2019,5,diocesan,South,5,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
159,25,2021,3,diocesan,Midwest,5,3,4,3,4,2,5,1,1,1,3,0,2,early_compliant_survivor
160,27,2019,5,diocesan,Midwest,5,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
161,25,2021,3,diocesan,West,4,3,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
162,40,2006,18,diocesan,South,3,4,4,2,2,4,4,1,1,1,3,0,3,late_integrated_attriter
163,28,2018,6,diocesan,West,5,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
164,37,2009,15,diocesan,West,3,5,4,2,2,5,4,1,1,1,6,0,3,late_integrated_attriter
165,23,2023,1,diocesan,South,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
166,24,2022,2,diocesan,Northeast,5,3,4,3,5,2,5,1,1,1,3,0,2,early_compliant_survivor
167,29,2017,7,diocesan,South,5,4,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
168,23,2023,1,diocesan,Northeast,3,2,2,2,3,2,3,0,0,0,1,0,5,early_exit_discerner
169,36,2010,14,diocesan,Midwest,3,4,5,2,1,3,4,1,1,1,4,0,4,late_integrated_attriter
170,27,2019,5,diocesan,Midwest,5,3,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
171,41,2005,19,religious,West,5,2,2,5,4,0,4,1,1,1,,1,,institutional_careerist
172,34,2012,12,diocesan,South,4,5,4,1,2,4,4,1,1,1,5,0,3,late_integrated_attriter
173,25,2021,3,diocesan,South,4,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
174,26,2020,4,diocesan,West,4,3,4,3,5,1,4,1,1,1,3,0,3,early_compliant_survivor
175,39,2007,17,religious,Midwest,4,3,1,4,4,0,3,1,1,0,,1,,institutional_careerist
176,34,2012,12,diocesan,South,4,4,4,2,1,5,4,1,1,1,6,0,4,late_integrated_attriter
177,24,2022,2,diocesan,Midwest,4,4,4,4,4,2,4,1,1,1,3,0,2,early_compliant_survivor
178,26,2020,4,diocesan,South,4,4,4,3,4,1,4,1,1,1,3,0,2,early_compliant_survivor
179,29,2017,7,diocesan,South,4,4,4,4,4,2,4,1,0,1,2,0,3,early_compliant_survivor
180,25,2021,3,diocesan,Midwest,3,1,3,3,2,1,3,0,0,0,2,0,1,early_exit_discerner
181,25,2021,3,diocesan,Northeast,2,2,3,2,3,2,3,0,0,0,1,0,1,early_exit_discerner
182,27,2019,5,diocesan,Midwest,4,3,3,3,5,0,4,1,1,1,,1,,early_compliant_survivor
183,24,2022,2,diocesan,West,4,4,4,3,5,1,4,1,0,1,2,0,2,early_compliant_survivor
184,32,2014,10,religious,South,4,3,2,5,4,1,3,1,1,0,,1,,institutional_careerist
185,41,2005,19,religious,Northeast,5,2,2,5,4,0,4,1,1,1,,1,,institutional_careerist
186,39,2007,17,religious,West,4,2,2,5,4,1,3,1,1,0,,1,,institutional_careerist
187,29,2017,7,diocesan,Northeast,4,4,4,3,5,2,4,1,1,1,3,0,3,early_compliant_survivor
188,40,2006,18,religious,Midwest,4,3,1,4,4,1,3,1,1,0,,1,,institutional_careerist
189,23,2023,1,diocesan,South,4,3,4,3,4,1,4,1,0,1,2,0,3,early_compliant_survivor
190,26,2020,4,diocesan,Northeast,2,2,3,3,3,1,3,0,0,0,2,0,1,early_exit_discerner
191,23,2023,1,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
192,34,2012,12,religious,Midwest,4,3,1,5,5,0,3,1,1,0,,1,,institutional_careerist
193,23,2023,1,diocesan,South,4,3,4,4,4,2,4,1,0,1,2,0,3,early_compliant_survivor
194,23,2023,1,diocesan,Midwest,4,4,4,3,5,2,4,1,0,1,2,0,2,early_compliant_survivor
195,25,2021,3,diocesan,Northeast,4,3,4,3,4,2,4,1,0,1,2,0,3,early_compliant_survivor
196,42,2004,20,religious,Midwest,5,2,1,4,4,1,3,1,1,0,,1,,institutional_careerist
197,28,2018,6,diocesan,Midwest,5,3,4,4,4,2,5,1,1,1,3,0,2,early_compliant_survivor
198,39,2007,17,religious,Northeast,4,3,2,5,4,0,3,1,1,0,,1,,institutional_careerist
199,26,2020,4,diocesan,Northeast,5,3,4,3,5,1,5,1,0,1,2,0,3,early_compliant_survivor
200,35,2011,13,religious,Northeast,4,3,2,4,4,0,3,1,1,0,,1,,institutional_careerist
201,26,2020,4,diocesan,Midwest,2,2,2,2,2,2,2,0,0,0,1,0,1,early_exit_discerner
202,26,2020,4,diocesan,West,5,4,4,4,4,2,5,1,0,1,2,0,2,early_compliant_survivor
203,24,2022,2,diocesan,Midwest,4,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
204,27,2019,5,diocesan,South,4,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
205,26,2020,4,diocesan,West,4,4,4,3,5,2,4,1,1,1,3,0,3,early_compliant_survivor
206,28,2018,6,diocesan,Northeast,4,4,4,4,4,1,4,1,0,1,2,0,2,early_compliant_survivor
207,24,2022,2,diocesan,Northeast,5,4,4,3,4,2,5,1,0,1,2,0,2,early_compliant_survivor
208,28,2018,6,diocesan,South,5,3,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
209,34,2012,12,religious,South,4,2,1,4,5,1,3,1,1,0,,1,,institutional_careerist
210,25,2021,3,diocesan,Northeast,5,3,4,3,5,1,5,1,1,1,3,0,3,early_compliant_survivor
211,30,2016,8,diocesan,South,3,5,5,2,1,3,4,1,1,1,4,0,4,late_integrated_attriter
212,35,2011,13,diocesan,Midwest,3,4,4,2,2,3,4,1,1,1,5,0,4,late_integrated_attriter
213,29,2017,7,diocesan,Midwest,4,4,4,4,5,1,4,1,1,1,3,0,3,early_compliant_survivor
214,35,2011,13,diocesan,South,3,4,4,1,2,3,4,1,1,1,4,0,4,late_integrated_attriter
215,32,2014,10,diocesan,Midwest,4,4,5,2,1,3,5,1,1,1,4,0,4,late_integrated_attriter
216,44,2002,22,religious,West,4,3,1,4,5,1,3,1,1,0,,1,,institutional_careerist
217,27,2019,5,diocesan,Midwest,4,4,4,3,5,2,4,1,0,1,2,0,2,early_compliant_survivor
218,24,2022,2,diocesan,South,3,2,3,2,3,1,3,0,0,0,1,0,1,early_exit_discerner
219,27,2019,5,diocesan,Northeast,4,3,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
220,27,2019,5,diocesan,West,4,3,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
221,23,2023,1,diocesan,West,4,4,4,4,4,2,4,1,1,1,3,0,2,early_compliant_survivor
222,24,2022,2,diocesan,West,4,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
223,29,2017,7,diocesan,South,5,3,4,3,4,2,5,1,1,1,3,0,2,early_compliant_survivor
224,28,2018,6,diocesan,Midwest,4,4,4,4,4,1,4,1,0,1,2,0,2,early_compliant_survivor
225,28,2018,6,diocesan,South,5,4,4,3,5,1,5,1,1,1,3,0,3,early_compliant_survivor
226,33,2013,11,religious,Midwest,5,2,1,5,5,0,3,1,1,0,,1,,institutional_careerist
227,31,2015,9,religious,South,5,3,1,5,5,1,3,1,1,0,,1,,institutional_careerist
228,26,2020,4,diocesan,Midwest,5,4,4,4,5,2,5,1,1,1,3,0,2,early_compliant_survivor
229,27,2019,5,diocesan,Northeast,5,3,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
230,29,2017,7,diocesan,Northeast,4,3,4,3,4,1,4,1,0,1,2,0,2,early_compliant_survivor
231,28,2018,6,diocesan,Midwest,5,4,4,3,4,2,5,1,0,1,2,0,3,early_compliant_survivor
232,24,2022,2,diocesan,Midwest,4,4,4,4,5,2,4,1,0,1,2,0,3,early_compliant_survivor
233,28,2018,6,diocesan,Midwest,5,4,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
234,31,2015,9,diocesan,Northeast,3,5,5,1,1,5,4,1,1,1,5,0,4,late_integrated_attriter
235,28,2018,6,diocesan,Northeast,5,4,4,4,4,1,5,1,0,1,2,0,3,early_compliant_survivor
236,27,2019,5,diocesan,Northeast,5,4,4,3,4,2,5,1,0,1,2,0,3,early_compliant_survivor
237,27,2019,5,diocesan,West,5,3,3,3,4,0,4,1,1,1,,1,,early_compliant_survivor
238,44,2002,22,religious,Midwest,4,2,1,4,4,0,3,1,1,0,,1,,institutional_careerist
239,37,2009,15,religious,South,4,3,1,5,5,1,3,1,1,0,,1,,institutional_careerist
240,44,2002,22,religious,South,5,2,1,5,4,0,3,1,1,0,,1,,institutional_careerist
241,25,2021,3,diocesan,West,4,4,4,3,4,2,4,1,1,1,3,0,2,early_compliant_survivor
242,25,2021,3,diocesan,Midwest,5,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
243,28,2018,6,diocesan,West,5,4,4,4,5,1,5,1,1,1,3,0,3,early_compliant_survivor
244,28,2018,6,diocesan,Midwest,4,3,4,4,4,2,4,1,0,1,2,0,3,early_compliant_survivor
245,25,2021,3,diocesan,West,2,1,2,3,3,1,2,0,0,0,1,0,5,early_exit_discerner
246,26,2020,4,diocesan,West,4,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
247,27,2019,5,diocesan,Midwest,4,4,3,4,4,1,4,1,1,1,,1,,early_compliant_survivor
248,29,2017,7,diocesan,Northeast,4,4,4,4,4,2,4,1,1,1,3,0,2,early_compliant_survivor
249,32,2014,10,diocesan,South,3,5,5,1,1,4,4,1,1,1,6,0,4,late_integrated_attriter
250,28,2018,6,diocesan,Northeast,5,3,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
251,33,2013,11,religious,South,5,2,1,4,4,0,3,1,1,0,,1,,institutional_careerist
252,26,2020,4,diocesan,Northeast,2,1,3,2,3,2,3,0,0,0,1,0,1,early_exit_discerner
253,27,2019,5,diocesan,West,5,4,3,3,4,1,4,1,1,1,,1,,early_compliant_survivor
254,34,2012,12,diocesan,West,4,5,5,2,1,4,5,1,1,1,6,0,3,late_integrated_attriter
255,26,2020,4,diocesan,Northeast,4,3,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
256,28,2018,6,diocesan,South,4,4,3,4,5,1,4,1,1,1,,1,,early_compliant_survivor
257,26,2020,4,diocesan,Northeast,4,4,3,3,5,1,4,1,1,1,,1,,early_compliant_survivor
258,33,2013,11,religious,West,5,3,1,4,4,1,3,1,1,0,,1,,institutional_careerist
259,30,2016,8,religious,South,5,3,1,5,5,1,3,1,1,0,,1,,institutional_careerist
260,27,2019,5,diocesan,Northeast,4,4,3,4,4,0,4,1,1,1,,1,,early_compliant_survivor
261,45,2001,23,religious,Midwest,5,2,1,5,5,0,3,1,1,0,,1,,institutional_careerist
262,27,2019,5,diocesan,Midwest,4,4,4,4,4,1,4,1,0,1,2,0,2,early_compliant_survivor
263,42,2004,20,religious,Midwest,4,3,1,4,4,0,3,1,1,0,,1,,institutional_careerist
264,26,2020,4,diocesan,South,3,2,3,3,2,2,3,0,0,0,2,0,1,early_exit_discerner
265,39,2007,17,diocesan,West,4,4,4,2,1,4,4,1,1,1,4,0,3,late_integrated_attriter
